GameID,Result,Time,Steps
1,win,11,214
2,win,11,216
3,win,11,213
4,win,11,216
5,win,11,216
6,win,11,214
7,win,11,216
8,win,9,187
9,win,10,211
10,win,11,216
11,win,10,210
12,win,10,207
13,win,11,216
14,win,10,209
15,win,10,211
16,win,11,216
17,win,11,216
18,win,9,185
19,win,11,216
20,win,11,214
21,win,11,214
22,win,11,216
23,win,11,214
24,win,11,216
25,win,11,216
26,win,11,216
27,win,11,216
28,win,11,214
29,win,10,206
30,lose,0,1
31,win,11,216
32,win,10,206
33,win,11,216
34,win,11,216
35,win,11,216
36,lose,0,1
37,win,11,214
38,win,11,213
39,win,11,212
40,lose,0,1
41,win,11,216
42,win,11,216
43,win,10,204
44,win,11,216
45,win,11,216
46,win,11,216
47,win,11,212
48,win,11,216
49,lose,0,1
50,win,11,212
51,win,11,216
52,win,11,216
53,win,10,201
54,win,10,207
55,win,11,212
56,win,10,210
57,win,11,214
58,win,10,211
59,win,11,216
60,lose,0,1
61,win,11,216
62,win,10,211
63,lose,0,1
64,win,11,216
65,win,11,215
66,win,11,216
67,win,11,216
68,win,11,215
69,win,11,216
70,win,10,209
71,lose,0,1
72,win,11,216
73,lose,13,216
74,win,11,215
75,win,12,216
76,win,12,211
77,win,10,211
78,win,11,212
79,win,11,216
80,win,11,216
81,lose,0,1
82,win,11,215
83,lose,0,1
84,win,11,216
85,win,11,213
86,win,11,214
87,win,11,214
88,win,11,211
89,win,10,208
90,lose,0,1
91,lose,0,1
92,win,11,216
93,win,11,216
94,win,11,216
95,win,10,211
96,win,11,215
97,win,11,216
98,win,10,208
99,win,11,216
100,lose,0,1
101,win,11,215
102,win,11,216
103,lose,0,1
104,win,11,216
105,win,11,211
106,win,11,214
107,win,11,216
108,win,11,213
109,win,11,216
110,win,11,216
111,win,11,214
112,win,11,216
113,win,9,187
114,win,10,211
115,win,11,216
116,win,10,210
117,win,10,207
118,win,11,216
119,win,10,209
120,win,10,211
121,win,11,216
122,win,11,216
123,win,9,185
124,win,11,216
125,win,11,214
126,win,11,214
127,win,11,216
128,win,11,214
129,win,11,216
130,win,11,216
131,win,11,216
132,win,11,216
133,win,11,214
134,win,10,206
135,lose,0,1
136,win,11,216
137,win,10,206
138,win,11,216
139,win,11,216
140,win,11,216
141,lose,0,1
142,win,11,214
143,win,11,213
144,win,11,212
145,lose,0,1
146,win,11,216
147,win,11,216
148,win,10,204
149,win,11,216
150,win,11,216
151,win,11,216
152,win,11,212
153,win,11,216
154,lose,0,1
155,win,11,212
156,win,11,216
157,win,11,216
158,win,10,201
159,win,10,207
160,win,11,212
161,win,10,210
162,win,11,214
163,win,10,211
164,win,11,216
165,lose,0,1
166,win,11,216
167,win,10,211
168,lose,0,1
169,win,11,216
170,win,11,215
171,win,11,216
172,win,11,216
173,win,11,215
174,win,11,216
175,win,10,209
176,lose,0,1
177,win,11,216
178,lose,13,216
179,win,11,215
180,win,12,216
181,win,12,211
182,win,10,211
183,win,11,212
184,win,11,216
185,win,11,216
186,lose,0,1
187,win,11,215
188,lose,0,1
189,win,11,216
190,win,11,213
191,win,11,214
192,win,11,214
193,win,11,211
194,win,10,208
195,lose,0,1
196,lose,0,1
197,win,11,216
198,win,11,216
199,win,11,216
200,win,10,211
201,win,11,215
202,win,11,216
203,win,10,208
204,win,11,216
205,lose,0,1
206,win,11,215
207,win,11,216
208,lose,0,1
209,win,11,216
210,win,11,211
211,win,11,214
212,win,11,216
213,win,11,213
214,win,11,216
215,win,11,216
216,win,11,214
217,win,11,216
218,win,9,187
219,win,10,211
220,win,11,216
221,win,10,210
222,win,10,207
223,win,11,216
224,win,10,209
225,win,10,211
226,win,11,216
227,win,11,216
228,win,9,185
229,win,11,216
230,win,11,214
231,win,11,214
232,win,11,216
233,win,11,214
234,win,11,216
235,win,11,216
236,win,11,216
237,win,11,216
238,win,11,214
239,win,10,206
240,lose,0,1
241,win,11,216
242,win,10,206
243,win,11,216
244,win,11,216
245,win,11,216
246,lose,0,1
247,win,11,214
248,win,11,213
249,win,11,212
250,lose,0,1
251,win,11,216
252,win,11,216
253,win,10,204
254,win,11,216
255,win,11,216
256,win,11,216
257,win,11,212
258,win,11,216
259,lose,0,1
260,win,11,212
261,win,11,216
262,win,11,216
263,win,10,201
264,win,10,207
265,win,11,212
266,win,10,210
267,win,11,214
268,win,10,211
269,win,11,216
270,lose,0,1
271,win,11,216
272,win,10,211
273,lose,0,1
274,win,11,216
275,win,11,215
276,win,11,216
277,win,11,216
278,win,11,215
279,win,11,216
280,win,10,209
281,lose,0,1
282,win,11,216
283,lose,13,216
284,win,11,215
285,win,12,216
286,win,12,211
287,win,10,211
288,win,11,212
289,win,11,216
290,win,11,216
291,lose,0,1
292,win,11,215
293,lose,0,1
294,win,11,216
295,win,11,213
296,win,11,214
297,win,11,214
298,win,11,211
299,win,10,208
300,lose,0,1
301,lose,0,1
302,win,11,216
303,win,11,216
304,win,11,216
305,win,10,211
306,win,11,215
307,win,11,216
308,win,10,208
309,win,11,216
310,lose,0,1
311,win,11,215
312,win,11,216
313,lose,0,1
314,win,11,216
315,win,11,211
316,win,11,214
317,win,11,216
318,win,11,213
319,win,11,216
320,win,11,216
321,win,11,214
322,win,11,216
323,win,9,187
324,win,10,211
325,win,11,216
326,win,10,210
327,win,10,207
328,win,11,216
329,win,10,209
330,win,10,211
331,win,11,216
332,win,11,216
333,win,9,185
334,win,11,216
335,win,11,214
336,win,11,214
337,win,11,216
338,win,11,214
339,win,11,216
340,win,11,216
341,win,11,216
342,win,11,216
343,win,11,214
344,win,10,206
345,lose,0,1
346,win,11,216
347,win,10,206
348,win,11,216
349,win,11,216
350,win,11,216
351,lose,0,1
352,win,11,214
353,win,11,213
354,win,11,212
355,lose,0,1
356,win,11,216
357,win,11,216
358,win,10,204
359,win,11,216
360,win,11,216
361,win,11,216
362,win,11,212
363,win,11,216
364,lose,0,1
365,win,11,212
366,win,11,216
367,win,11,216
368,win,10,201
369,win,10,207
370,win,11,212
371,win,10,210
372,win,11,214
373,win,10,211
374,win,11,216
375,lose,0,1
376,win,11,216
377,win,10,211
378,lose,0,1
379,win,11,216
380,win,11,215
381,win,11,216
382,win,11,216
383,win,11,215
384,win,11,216
385,win,10,209
386,lose,0,1
387,win,11,216
388,lose,13,216
389,win,11,215
390,win,12,216
391,win,12,211
392,win,10,211
393,win,11,212
394,win,11,216
395,win,11,216
396,lose,0,1
397,win,11,215
398,lose,0,1
399,win,11,216
400,win,11,213
401,win,11,214
402,win,11,214
403,win,11,211
404,win,10,208
405,lose,0,1
406,lose,0,1
407,win,11,216
408,win,11,216
409,win,11,216
410,win,10,211
411,win,11,215
412,win,11,216
413,win,10,208
414,win,11,216
415,lose,0,1
416,win,11,215
417,win,11,216
418,lose,0,1
419,win,11,216
420,win,11,211
421,win,11,214
422,win,11,216
423,win,11,213
424,win,11,216
425,win,11,216
426,win,11,214
427,win,11,216
428,win,9,187
429,win,10,211
430,win,11,216
431,win,10,210
432,win,10,207
433,win,11,216
434,win,10,209
435,win,10,211
436,win,11,216
437,win,11,216
438,win,9,185
439,win,11,216
440,win,11,214
441,win,11,214
442,win,11,216
443,win,11,214
444,win,11,216
445,win,11,216
446,win,11,216
447,win,11,216
448,win,11,214
449,win,10,206
450,lose,0,1
451,win,11,216
452,win,10,206
453,win,11,216
454,win,11,216
455,win,11,216
456,lose,0,1
457,win,11,214
458,win,11,213
459,win,11,212
460,lose,0,1
461,win,11,216
462,win,11,216
463,win,10,204
464,win,11,216
465,win,11,216
466,win,11,216
467,win,11,212
468,win,11,216
469,lose,0,1
470,win,11,212
471,win,11,216
472,win,11,216
473,win,10,201
474,win,10,207
475,win,11,212
476,win,10,210
477,win,11,214
478,win,10,211
479,win,11,216
480,lose,0,1
481,win,11,216
482,win,10,211
483,lose,0,1
484,win,11,216
485,win,11,215
486,win,11,216
487,win,11,216
488,win,11,215
489,win,11,216
490,win,10,209
491,lose,0,1
492,win,11,216
493,lose,13,216
494,win,11,215
495,win,12,216
496,win,12,211
497,win,10,211
498,win,11,212
499,win,11,216
500,win,11,216
